"yend","horz_path","xend","vertical_path","label","Cluster"
0,1,1,1,"Florida",4
38.5279119600323,42,1,1,,4
38.5279119600323,42,1.5,2,,4
77.6050243110769,48,1.5,2,,4
0,1,2,3,"North Carolina",4
38.5279119600323,42,2,3,,4
0,1,3,4,"California",1
28.0122112970931,38,3,4,,1
28.0122112970931,38,3.875,5,,1
44.283921672634,45,3.875,5,,1
0,1,4,6,"Maryland",1
15.4531200289137,24,4,6,,1
15.4531200289137,24,4.75,7,,1
28.0122112970931,38,4.75,7,,1
77.6050243110769,48,4.765625,8,,1
152.313999380806,50,4.765625,8,,1
0,1,5,9,"Arizona",1
13.8960426021224,20,5,9,,1
13.8960426021224,20,5.5,10,,1
15.4531200289137,24,5.5,10,,1
0,1,6,11,"New Mexico",1
13.8960426021224,20,6,11,,1
0,1,7,12,"Delaware",1
16.8914988216046,27,7,12,,1
16.8914988216046,27,7.75,13,,1
26.3634282396782,35,7.75,13,,1
0,1,8,14,"Alabama",1
15.4544491975612,25,8,14,,1
44.283921672634,45,8.03125,15,,1
77.6050243110769,48,8.03125,15,,1
15.4544491975612,25,8.5,16,,1
16.8914988216046,27,8.5,16,,1
0,1,9,17,"Louisiana",1
15.4544491975612,25,9,17,,1
26.3634282396782,35,9.625,18,,1
39.3946331306859,43,9.625,18,,1
0,1,10,19,"Illinois",1
6.23698645180507,5,10,19,,1
6.23698645180507,5,10.5,20,,1
18.4173313943456,28,10.5,20,,1
0,1,11,21,"New York",1
6.23698645180507,5,11,21,,1
18.4173313943456,28,11.5,22,,1
26.3634282396782,35,11.5,22,,1
0,1,12,23,"Michigan",1
13.2973681606549,18,12,23,,1
39.3946331306859,43,12.1875,24,,1
44.283921672634,45,12.1875,24,,1
13.2973681606549,18,12.5,25,,1
18.4173313943456,28,12.5,25,,1
0,1,13,26,"Nevada",1
13.2973681606549,18,13,26,,1
0,1,14,27,"Alaska",1
28.0958028692397,39,14,27,,1
28.0958028692397,39,14.75,28,,1
39.3946331306859,43,14.75,28,,1
